epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.013,1.67499,2.77097,1.35035,0.03502,0.03013,0.02346,0.01436,1.96057,13.3355,1.49025,0.08317,0.00017,0.00017
2,430.057,1.57019,1.95011,1.31452,0.25135,0.04405,0.03569,0.02075,1.74896,8.22089,1.3841,0.0653465,0.000346535,0.000346535
3,594.472,1.48354,1.68594,1.25986,0.36855,0.10869,0.10622,0.05951,1.59442,3.8682,1.30005,0.0475195,0.000519506,0.000519506
4,756.707,1.47194,1.63853,1.2687,0.43389,0.33865,0.3353,0.18907,1.46215,2.644,1.24462,0.0296889,0.000688913,0.000688913
5,915.512,1.48742,1.58659,1.2389,0.40233,0.40014,0.34374,0.1936,1.44338,2.17762,1.22777,0.0118548,0.000854756,0.000854756
6,3451.58,1.49491,1.55793,1.26794,0.50304,0.41974,0.39436,0.22741,1.38056,1.87732,1.18627,0.0009505,0.0009505,0.0009505
7,3668.22,1.49256,1.54361,1.25707,0.57377,0.41541,0.37551,0.19458,1.59505,1.89983,1.26876,0.0009406,0.0009406,0.0009406
8,4233.6,1.40438,1.48482,1.22982,0.58805,0.41634,0.40911,0.22407,1.49208,1.68507,1.23539,0.0009307,0.0009307,0.0009307
9,4505.52,1.40621,1.37716,1.21422,0.60169,0.4892,0.46242,0.25893,1.51977,1.45115,1.24177,0.0009208,0.0009208,0.0009208
10,4700.12,1.40293,1.40211,1.22812,0.53871,0.47474,0.41517,0.225,1.58923,1.5438,1.28733,0.0009109,0.0009109,0.0009109
11,4837.39,1.36177,1.33541,1.19463,0.65729,0.45726,0.4801,0.27596,1.44366,1.39297,1.19831,0.000901,0.000901,0.000901
12,4993.16,1.36417,1.30448,1.18448,0.64614,0.44468,0.4842,0.27039,1.5233,1.32096,1.22435,0.0008911,0.0008911,0.0008911
13,5184.84,1.41865,1.34756,1.22379,0.7446,0.39919,0.48988,0.25904,1.64022,1.35948,1.2815,0.0008812,0.0008812,0.0008812
14,5435.61,1.37168,1.30697,1.19639,0.65938,0.45542,0.49606,0.25921,1.64083,1.34674,1.2598,0.0008713,0.0008713,0.0008713
15,5702.7,1.35783,1.2538,1.17789,0.66146,0.45162,0.5194,0.29935,1.38884,1.39874,1.16647,0.0008614,0.0008614,0.0008614
16,5833.79,1.34515,1.28368,1.19537,0.67675,0.49115,0.53892,0.32235,1.32827,1.24266,1.15736,0.0008515,0.0008515,0.0008515
17,5962.32,1.30915,1.21067,1.16919,0.6279,0.57663,0.57101,0.31176,1.56026,1.2474,1.2304,0.0008416,0.0008416,0.0008416
18,49513.7,1.30248,1.18931,1.16393,0.71934,0.50557,0.57492,0.33407,1.40253,1.20587,1.17081,0.0008317,0.0008317,0.0008317
19,50519.9,1.29144,1.19777,1.16774,0.56851,0.53826,0.56507,0.33701,1.40608,1.21249,1.18345,0.0008218,0.0008218,0.0008218
20,50843,1.29785,1.20401,1.16349,0.61764,0.56739,0.53881,0.30141,1.52721,1.26648,1.21978,0.0008119,0.0008119,0.0008119
21,51309.4,1.28904,1.202,1.16384,0.50387,0.52606,0.53937,0.31872,1.40729,1.24928,1.17427,0.000802,0.000802,0.000802
